athlete_id,rank,name,country,round,round_score,round_rank,ascent,ascent_top,ascent_top_tries,ascent_zone,ascent_zone_tries,sex,event_id,starting_group,event,location
2348,17,Fujiwaki Yuji,JPN,qualification,2T5z 3 9,17,3,FALSE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2348,17,Fujiwaki Yuji,JPN,qualification,2T5z 3 9,17,4,FALSE,4,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2348,17,Fujiwaki Yuji,JPN,qualification,2T5z 3 9,17,5,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2348,17,Fujiwaki Yuji,JPN,semi-final,0T3z 0 13,17,1,FALSE,7,TRUE,5,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2348,17,Fujiwaki Yuji,JPN,semi-final,0T3z 0 13,17,2,FALSE,4,FALSE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2348,17,Fujiwaki Yuji,JPN,semi-final,0T3z 0 13,17,3,FALSE,6,TRUE,6,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2348,17,Fujiwaki Yuji,JPN,semi-final,0T3z 0 13,17,4,FALSE,5,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11390,18,YOSHIDA Satone,JPN,qualification,4T4z 7 6,5,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11390,18,YOSHIDA Satone,JPN,qualification,4T4z 7 6,5,2,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11390,18,YOSHIDA Satone,JPN,qualification,4T4z 7 6,5,3,FALSE,1,FALSE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11390,18,YOSHIDA Satone,JPN,qualification,4T4z 7 6,5,4,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11390,18,YOSHIDA Satone,JPN,qualification,4T4z 7 6,5,5,TRUE,3,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11390,18,YOSHIDA Satone,JPN,semi-final,0T2z 0 4,18,1,FALSE,6,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11390,18,YOSHIDA Satone,JPN,semi-final,0T2z 0 4,18,2,FALSE,4,FALSE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11390,18,YOSHIDA Satone,JPN,semi-final,0T2z 0 4,18,3,FALSE,5,FALSE,5,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11390,18,YOSHIDA Satone,JPN,semi-final,0T2z 0 4,18,4,FALSE,5,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
12239,19,Akhtar Dayan,GBR,qualification,3T5z 10 10,19,1,TRUE,6,TRUE,6,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
12239,19,Akhtar Dayan,GBR,qualification,3T5z 10 10,19,2,TRUE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
12239,19,Akhtar Dayan,GBR,qualification,3T5z 10 10,19,3,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
12239,19,Akhtar Dayan,GBR,qualification,3T5z 10 10,19,4,FALSE,2,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
